layout,constraint,radius,slack,coefficient,sample,vehicle
Front,gap_lower,6.751638133368425,15.0,2.2216830499054643,30.0,1.0
Front,speed_upper,9.183125828023678,10.0,1.0889538254483575,29.0,1.0
Front,speed_lower,18.366251656047357,20.0,1.0889538254483575,29.0,1.0
Front,acceleration_upper,2.6580205385183056,2.0,0.7524396335608775,43.0,1.0
Front,acceleration_lower,5.980546211666187,4.5,0.7524396335608775,43.0,1.0
Front,command_upper,3.111783391634982,2.5,0.8033978222007474,39.0,1.0
Front,command_lower,6.223566783269964,5.0,0.8033978222007474,39.0,1.0
Front,jerk_upper,3.334574257556958,5.0,1.499441791907552,43.0,1.0
Front,jerk_lower,3.334574257556958,5.0,1.499441791907552,43.0,1.0
Front,terminal_gap_upper,20.09137104224868,1.0,0.04977261123181553,600.0,2.0
Front,terminal_gap_lower,20.09137104224868,1.0,0.04977261123181553,600.0,2.0
Front,terminal_speed_upper,54.59740944935736,0.6,0.010989532398172462,600.0,12.0
Front,terminal_speed_lower,54.59740944935736,0.6,0.010989532398172462,600.0,12.0
Front,terminal_acceleration_upper,387.8669729972755,0.3,0.0007734610598105945,600.0,12.0
Front,terminal_acceleration_lower,387.8669729972755,0.3,0.0007734610598105945,600.0,12.0
Front,leader_speed_upper,5.0,10.0,2.0,20.0,1.0
Front,leader_speed_lower,10.0,20.0,2.0,20.0,1.0
Front,normalized_loss,9.214109560485236,0.03,0.003255876197593219,,
Front,leader_amplitude_domain,4.5,4.5,1.0,,0.0
Distributed,gap_lower,6.574134994135555,15.0,2.281668997271994,29.0,1.0
Distributed,speed_upper,6.973751465735687,10.0,1.4339484349468514,35.0,1.0
Distributed,speed_lower,13.947502931471375,20.0,1.4339484349468514,35.0,1.0
Distributed,acceleration_upper,2.3771727487708594,2.0,0.8413355743852102,23.0,1.0
Distributed,acceleration_lower,5.348638684734434,4.5,0.8413355743852102,23.0,1.0
Distributed,command_upper,2.7745945271802026,2.5,0.9010325564725774,20.0,1.0
Distributed,command_lower,5.549189054360405,5.0,0.9010325564725774,20.0,1.0
Distributed,jerk_upper,5.35365455016686,5.0,0.9339414699150065,32.0,1.0
Distributed,jerk_lower,5.35365455016686,5.0,0.9339414699150065,32.0,1.0
Distributed,terminal_gap_upper,13.411917853771252,1.0,0.07456055210767738,600.0,7.0
Distributed,terminal_gap_lower,13.411917853771252,1.0,0.07456055210767738,600.0,7.0
Distributed,terminal_speed_upper,54.5974094493574,0.6,0.010989532398172453,600.0,12.0
Distributed,terminal_speed_lower,54.5974094493574,0.6,0.010989532398172453,600.0,12.0
Distributed,terminal_acceleration_upper,387.86697299727626,0.3,0.0007734610598105931,600.0,12.0
Distributed,terminal_acceleration_lower,387.86697299727626,0.3,0.0007734610598105931,600.0,12.0
Distributed,leader_speed_upper,5.0,10.0,2.0,20.0,1.0
Distributed,leader_speed_lower,10.0,20.0,2.0,20.0,1.0
Distributed,normalized_loss,8.98000946373499,0.03,0.00334075371759378,,
Distributed,leader_amplitude_domain,4.5,4.5,1.0,,0.0
Middle,gap_lower,6.574134994135555,15.0,2.281668997271994,29.0,1.0
Middle,speed_upper,6.973751465735687,10.0,1.4339484349468514,35.0,1.0
Middle,speed_lower,13.947502931471375,20.0,1.4339484349468514,35.0,1.0
Middle,acceleration_upper,2.3771727487708594,2.0,0.8413355743852102,23.0,1.0
Middle,acceleration_lower,5.348638684734434,4.5,0.8413355743852102,23.0,1.0
Middle,command_upper,2.7745945271802026,2.5,0.9010325564725774,20.0,1.0
Middle,command_lower,5.549189054360405,5.0,0.9010325564725774,20.0,1.0
Middle,jerk_upper,5.35365455016686,5.0,0.9339414699150065,32.0,1.0
Middle,jerk_lower,5.35365455016686,5.0,0.9339414699150065,32.0,1.0
Middle,terminal_gap_upper,13.411917853771236,1.0,0.07456055210767747,600.0,7.0
Middle,terminal_gap_lower,13.411917853771236,1.0,0.07456055210767747,600.0,7.0
Middle,terminal_speed_upper,54.59740944935729,0.6,0.010989532398172474,600.0,12.0
Middle,terminal_speed_lower,54.59740944935729,0.6,0.010989532398172474,600.0,12.0
Middle,terminal_acceleration_upper,387.86697299727604,0.3,0.0007734610598105936,600.0,12.0
Middle,terminal_acceleration_lower,387.86697299727604,0.3,0.0007734610598105936,600.0,12.0
Middle,leader_speed_upper,5.0,10.0,2.0,20.0,1.0
Middle,leader_speed_lower,10.0,20.0,2.0,20.0,1.0
Middle,normalized_loss,8.456902824775762,0.03,0.0035473979802760074,,
Middle,leader_amplitude_domain,4.5,4.5,1.0,,0.0
Rear,gap_lower,5.811845166077359,15.0,2.5809359284986053,207.0,11.0
Rear,speed_upper,6.973751465735687,10.0,1.4339484349468514,35.0,1.0
Rear,speed_lower,13.947502931471375,20.0,1.4339484349468514,35.0,1.0
Rear,acceleration_upper,2.3771727487708594,2.0,0.8413355743852102,23.0,1.0
Rear,acceleration_lower,5.348638684734434,4.5,0.8413355743852102,23.0,1.0
Rear,command_upper,2.7745945271802026,2.5,0.9010325564725774,20.0,1.0
Rear,command_lower,5.549189054360405,5.0,0.9010325564725774,20.0,1.0
Rear,jerk_upper,5.35365455016686,5.0,0.9339414699150065,32.0,1.0
Rear,jerk_lower,5.35365455016686,5.0,0.9339414699150065,32.0,1.0
Rear,terminal_gap_upper,9.00125329480214,1.0,0.11109564049013702,600.0,12.0
Rear,terminal_gap_lower,9.00125329480214,1.0,0.11109564049013702,600.0,12.0
Rear,terminal_speed_upper,54.597409449357365,0.6,0.01098953239817246,600.0,12.0
Rear,terminal_speed_lower,54.597409449357365,0.6,0.01098953239817246,600.0,12.0
Rear,terminal_acceleration_upper,387.8669729972759,0.3,0.0007734610598105938,600.0,12.0
