layout,alpha_mps2,A,B,C,D,expected_seeds
even,0.0,12,0,0,0,12
even,0.25,12,0,0,0,12
even,1.0,12,0,0,0,12
even,1.5,12,0,0,0,12
even,1.7,12,0,0,0,12
even,1.8,12,0,0,0,12
even,1.9,12,0,0,0,12
even,2.0,12,0,0,0,12
even,2.1,12,0,0,0,12
even,2.5,12,0,0,0,12
even,3.0,12,0,0,0,12
even,3.5,12,0,0,0,12
even,4.0,12,0,0,0,12
even,4.5,11,0,1,0,12
front,0.0,12,0,0,0,12
front,0.25,12,0,0,0,12
front,1.0,12,0,0,0,12
front,1.5,12,0,0,0,12
front,1.7,12,0,0,0,12
front,1.8,12,0,0,0,12
front,1.9,12,0,0,0,12
front,2.0,12,0,0,0,12
front,2.1,12,0,0,0,12
front,2.5,12,0,0,0,12
front,3.0,6,0,0,6,12
front,3.5,6,0,0,6,12
front,4.0,6,0,0,6,12
front,4.5,6,0,0,6,12
middle,0.0,12,0,0,0,12
middle,0.25,12,0,0,0,12
middle,1.0,12,0,0,0,12
middle,1.5,6,0,6,0,12
middle,1.7,0,9,3,0,12
middle,1.8,0,12,0,0,12
middle,1.9,0,12,0,0,12
middle,2.0,0,12,0,0,12
middle,2.1,0,12,0,0,12
middle,2.5,0,12,0,0,12
middle,3.0,0,6,0,6,12
middle,3.5,0,6,0,6,12
middle,4.0,0,6,0,6,12
middle,4.5,0,6,0,6,12
rear,0.0,12,0,0,0,12
rear,0.25,12,0,0,0,12
rear,1.0,12,0,0,0,12
rear,1.5,1,9,2,0,12
rear,1.7,0,12,0,0,12
rear,1.8,0,12,0,0,12
rear,1.9,0,12,0,0,12
rear,2.0,0,12,0,0,12
rear,2.1,0,12,0,0,12
rear,2.5,0,12,0,0,12
rear,3.0,0,6,0,6,12
rear,3.5,0,6,0,6,12
rear,4.0,0,6,0,6,12
rear,4.5,0,6,0,6,12
