layout,case_id,alpha_mps2,seed,category,category_label,run_id,active_indices,first_active,prefix_indices,success,witness_kind,witness_vehicle,witness_time_s,witness_gap_m,witness_margin_m
front,front_idm_leader_d02,0.0,3,A,recovered,3c4b5c5da1f8e709,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,11,A,recovered,0555b435aceeb9c5,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,29,A,recovered,b98c01996a646c86,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,47,A,recovered,1f4415f884e57f6d,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,61,A,recovered,ef5f12eb47aaf088,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,79,A,recovered,e9f15b8371f9e324,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,97,A,recovered,567058b1af006ecc,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,113,A,recovered,73c3fcf5501023d3,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,131,A,recovered,cc0291464030cbc5,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,149,A,recovered,c15d247521c121d7,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,167,A,recovered,5050eccf4ba84769,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.0,191,A,recovered,353105abbe5d7d72,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,3,A,recovered,d7c7e399ab22e3aa,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,11,A,recovered,ec11798ce228d5f9,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,29,A,recovered,9522024976723c51,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,47,A,recovered,d65b9e41c06b2752,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,61,A,recovered,0302e92376907c45,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,79,A,recovered,6c666bf8776dd89c,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,97,A,recovered,093114bdfd60469e,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,113,A,recovered,e6a2c9ca5fe33fd9,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,0.25,131,A,recovered,170800605edae376,"[1,2,3,4]",1.0,[],1.0,,,,,
