seed,delta_endpoint_gap_margin_minus_predictive_m,delta_window_gap_margin_minus_predictive_m,delta_normalized_loss_margin_minus_predictive
3,-1.172233923742624,-0.645983778865002,0.002201761019788263
11,-2.295696581564812,-1.1204614924431553,0.0030387932105552795
29,-1.1435169634315798,-0.8599735528657675,0.002060311678953562
47,-0.591319420639536,-0.1868599250234979,0.002150123622645165
61,-0.3877184078295386,-0.1684496265139046,0.0022269761767021255
79,-0.7227608585331495,-0.2251631364684954,0.0023411643028987284
97,-1.0806557803280157,-0.676633308822943,0.0021127352364580885
113,-1.8717481229682562,-1.3593231102350387,0.002454511337529065
131,-0.9011260802269021,-0.730147694946254,0.0020173984975980427
149,-1.7933759521034744,-1.2236669745456084,0.002663427993825686
167,-1.1117330357117226,-0.7751999014487865,0.0020816724115243577
191,-0.7051590371281691,-0.7051590371281691,0.0018784758147820015
