N_followers,amplitude_grid,case_id,command_delay_s,controller,disturbance_location,empirical_alpha50_mps2,hdv_model,layout,nonmonotone_success_rate,scope,success_rates
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5]",even_idm_leader_d02,0.2,acc,0,1.0,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_leader_cmd04,0.4,margin,0,4.0,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.16666666666666666]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",middle_idm_leader_d02,0.2,margin,0,1.5,idm,middle,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,"[0.0, 0.25, 1.0, 1.5, 1.8, 2.0, 2.2, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_leader_N20,0.2,margin,0,4.0,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.16666666666666666]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5]",even_idm_leader_d02,0.2,human,0,1.0,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_internal8_d02,0.2,margin,8,2.1,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
20,"[0.0, 0.25, 1.0, 1.5, 1.8, 2.0, 2.2, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_leader_N20,0.2,predictive,0,4.5,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_leader_d02,0.2,predictive,0,4.5,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9166666666666666]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",even_ovm_leader_d02,0.2,margin,0,1.0,ovm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 0.8333333333333334, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",front_idm_leader_d02,0.2,margin,0,4.5,idm,front,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_leader_d02,0.2,margin,0,4.5,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9166666666666666]"
80,"[0.0, 0.25, 1.0, 1.5, 1.8, 2.0, 2.2, 2.5]",even_idm_leader_N80,0.2,wave,0,1.5,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.0, 0.0, 0.0]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5]",even_idm_leader_d02,0.2,wave,0,1.7,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 0.5833333333333334, 0.3333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0, 0.0]"
80,"[0.0, 0.25, 1.0, 1.5, 1.8, 2.0, 2.2, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_leader_N80,0.2,predictive,0,4.5,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",rear_idm_leader_d02,0.2,margin,0,1.0,idm,rear,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,"[0.0, 0.25, 1.0, 1.5, 1.8, 2.0, 2.2, 2.5]",even_idm_leader_N20,0.2,wave,0,1.8,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]"
40,"[0.0, 0.25, 1.0, 1.5, 1.7, 1.8, 1.9, 2.0, 2.1, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_leader_cmd0,0.0,margin,0,4.5,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
80,"[0.0, 0.25, 1.0, 1.5, 1.8, 2.0, 2.2, 2.5, 3.0, 3.5, 4.0, 4.5]",even_idm_leader_N80,0.2,margin,0,4.5,idm,even,False,finite paired-seed grid; not a robust certificate,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
