N_followers,active_count,active_indices,actuator_tau_s,alpha_mps2,budget_ok,case_id,command_delay_s,controller,disturbance_end_s,disturbance_half_duration_s,disturbance_location,disturbance_start_s,disturbance_waveform,dt_s,equipped_count,equipped_indices,failure_count,first_limit_kind,first_limit_time_s,first_limit_value,first_limit_vehicle,hdv_model,heavy_indices,horizon_s,information_delay_s,layout,mean_loss_m_per_follower,min_gap_m,normalized_loss,peak_braking_mps2,peak_constraint_kind,peak_constraint_time_s,peak_constraint_usage,peak_constraint_vehicle,peak_jerk_mps3,predicted_bottleneck_constraint,predicted_bottleneck_margin,predicted_bottleneck_time_s,predicted_bottleneck_vehicle,pulse_internal_gain,pulse_tail_gain,reaction_delay_s,recovered,run_id,safe,seed,studies,success,target_gap_m,target_speed_mps,terminal_acceleration_error_mps2,terminal_gap_error_m,terminal_speed_error_mps,throughput_loss_vehicle_m,total_vehicles
40,4,"[1,14,27,40]",0.35,2.5,0.0,even_idm_leader_d02,0.2,acc,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",130.0,jerk_saturation,5.0,-25.0,0,idm,[],60.0,0.2,even,247.5855639233213,-2.5209032320621247,0.2063213032694344,4.5,gap_lower,42.0,1.3260451616031061,25,5.000000000000004,gap_lower,-0.5015451616031072,41.5,25,5.333333333333333,3.9015643986758923,0.7,0.0,002afbc14ad7203d,0.0,131,controller_comparison,0.0,24.0,20.0,4.5,98.46008829366508,20.0,9903.422556932852,41
40,4,"[1,14,27,40]",0.35,2.5,1.0,even_idm_leader_cmd04,0.4,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",1.0,jerk_saturation,5.0,-25.0,0,idm,[],60.0,0.2,even,7.4474863941533185,17.768573398377953,0.006206238661794432,2.5,gap_lower,8.5,0.3115713300811024,1,5.0,gap_lower,0.6226531178538599,7.2,1,0.35790496768155816,0.0,0.7,1.0,003eefdb7d2c0837,1.0,113,prediction_scope,1.0,24.0,20.0,0.18492294877134527,1.7049999999999272,0.5250000000000021,297.89945576613275,41
40,4,"[1,14,27,40]",0.35,1.8,0.0,even_idm_leader_d02,0.2,acc,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",111.0,jerk_saturation,5.0,-18.0,0,idm,[],60.0,0.2,even,185.35765860090058,-2.5955090085491292,0.15446471550075047,4.5,gap_lower,55.1,1.3297754504274564,35,5.000000000000004,gap_lower,-0.5052754504274564,54.6,35,7.4074074074074066,5.03150315383677,0.7,0.0,00851ac6754e553b,0.0,149,controller_comparison,0.0,24.0,20.0,4.5,135.63300768116505,20.0,7414.306344036023,41
40,4,"[19,20,21,22]",0.35,1.8,0.0,middle_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[19,20,21,22]",76.0,jerk_saturation,5.0,-18.0,0,idm,[],60.0,0.2,middle,106.45276366870527,-87.84655400485923,0.08871063639058774,4.5,gap_lower,45.800000000000004,5.592327700242961,19,5.000000000000004,gap_lower,-4.596397308741561,44.800000000000004,19,7.4074074074074066,0.001326156803665044,0.7,0.0,00dda82f66caca36,0.0,3,layout_comparison,0.0,24.0,20.0,4.5,116.33631334415253,20.0,4258.110546748211,41
20,2,"[1,20]",0.35,1.8,1.0,even_idm_leader_N20,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,2,"[1,20]",1.0,jerk_saturation,5.0,-18.0,0,idm,[],60.0,0.2,even,7.771538562539126,20.118271619165995,0.006476282135449272,1.8,jerk,6.1000000000000005,0.1949187838400666,1,5.0,gap_lower,0.7314541031193812,6.7,1,0.3239786377755459,0.1666666666666585,0.7,1.0,015f2900dd912b11,1.0,131,chain_length_scope,1.0,24.0,20.0,0.04031010569304862,1.599499999999125,0.1600775264232439,155.43077125078253,21
40,0,[],0.35,0.25,1.0,even_idm_leader_d02,0.2,human,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,0,[],0.0,acceleration_upper,8.9,0.08939207863011335,1,idm,[],60.0,0.2,even,0.3859761191482568,23.598827532064817,0.0003216467659568807,0.25,acceleration_upper,8.9,0.08939207863011335,1,5.0,acceleration_upper,0.9131947058832561,8.9,1,0.742536747692308,0.00011533551545047278,0.7,1.0,019f5b1e8ac929e4,1.0,79,controller_comparison,1.0,24.0,20.0,0.007114859798563741,0.06756446730543075,0.03270760497555969,15.439044765930273,41
40,0,[],0.35,2.0,0.0,even_idm_leader_d02,0.2,human,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,0,[],132.0,jerk_saturation,5.0,-20.0,0,idm,[],60.0,0.2,even,250.77577853099933,-2.3872579874730064,0.20897981544249944,4.5,gap_lower,29.400000000000002,1.3193628993736504,15,5.000000000000004,gap_lower,-0.4948628993736506,28.900000000000002,15,6.666666666666667,4.816488980145055,0.7,0.0,01a62d29aefbc162,0.0,79,controller_comparison,0.0,24.0,20.0,4.5,81.25169759537653,20.0,10031.031141239973,41
40,4,"[1,14,27,40]",0.35,2.1,1.0,even_idm_internal8_d02,0.2,margin,8.0,1.5,8,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",2.0,jerk_saturation,5.0,-21.0,8,idm,[],60.0,0.2,even,6.183134583731552,17.241663822861682,0.0051526121531096265,2.1,jerk,5.1000000000000005,1.0,8,5.0,acceleration_upper,0.0,6.5,8,0.9528352348331521,0.1349198177707324,0.7,1.0,01c3cdf1b1735dcb,1.0,149,prediction_scope,1.0,24.0,20.0,0.17798578232183326,2.5523006077786476,0.4315215519642557,247.32538334926207,41
20,2,"[1,20]",0.35,2.0,1.0,even_idm_leader_N20,0.2,predictive,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,2,"[1,20]",1.0,jerk_saturation,5.0,-20.0,0,idm,[],60.0,0.2,even,6.431901381863476,19.272922396420682,0.005359917818219563,2.0,gap_lower,8.3,0.23635388017896589,1,5.0,gap_lower,0.6939790965800888,6.800000000000001,1,0.2611927729978933,0.05833333333333476,0.7,1.0,01e1a665d6c0d582,1.0,191,chain_length_scope,1.0,24.0,20.0,0.013996278479447807,2.0691350790790466,0.17500000000000426,128.63802763726952,21
40,0,[],0.35,0.0,1.0,even_idm_leader_d02,0.2,human,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,0,[],0.0,jerk,0.1,3.078257215171215e-16,20,idm,[],60.0,0.2,even,0.0,24.0,0.0,1.5350796098647517e-16,jerk,0.1,3.078257215171215e-16,20,1.5391286075856077e-15,acceleration_upper,0.9999999999999999,0.0,2,0.0,0.0,0.7,1.0,01ef9c35c30caaee,1.0,47,controller_comparison,1.0,24.0,20.0,1.5391286075856078e-16,0.0,0.0,0.0,41
20,2,"[1,20]",0.35,2.5,1.0,even_idm_leader_N20,0.2,predictive,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,2,"[1,20]",1.0,jerk_saturation,5.0,-25.0,0,idm,[],60.0,0.2,even,9.061055946680494,17.44987155700528,0.0075508799555670785,2.5,gap_lower,8.8,0.32750642214973597,1,5.0,gap_lower,0.616796615564511,7.0,1,0.2666430711583966,0.08666666666667026,0.7,1.0,020f5bdeaa39e847,1.0,97,chain_length_scope,1.0,24.0,20.0,0.016231578019592234,1.790814733583261,0.3250000000000135,181.2211189336099,21
40,4,"[1,14,27,40]",0.35,2.0,1.0,even_idm_leader_d02,0.2,predictive,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",1.0,jerk_saturation,5.0,-20.0,0,idm,[],60.0,0.2,even,3.766346948879869,19.272922396420682,0.0031386224573998907,2.0,gap_lower,8.3,0.23635388017896589,1,5.0,gap_lower,0.6939790965800888,6.800000000000001,1,0.2535656969648474,0.0,0.7,1.0,028cc190ef6f39be,1.0,11,controller_comparison,1.0,24.0,20.0,0.08387264539436089,1.4429409077075661,0.2233846717797725,150.65387795519476,41
40,4,"[1,14,27,40]",0.35,1.0,1.0,even_idm_leader_d02,0.2,acc,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",1.0,jerk_saturation,5.0,-10.0,0,idm,[],60.0,0.2,even,2.7262708075545348,22.244023710325138,0.002271892339628779,1.0,acceleration_upper,9.1,0.4260524990731095,1,5.0,acceleration_upper,0.5444537387124273,8.5,1,0.8778495915594012,0.00130536156133824,0.7,1.0,02a68b9fa0c9e0b1,1.0,3,controller_comparison,1.0,24.0,20.0,0.08590222780071606,0.6159666151475847,0.372586252619179,109.05083230218139,41
40,4,"[1,14,27,40]",0.35,2.0,1.0,even_ovm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",2.0,jerk_saturation,5.0,-20.0,0,ovm,[],60.0,0.2,even,8.100756676679405,17.516437750607338,0.006750630563899503,2.0,gap_lower,55.300000000000004,0.32417811246963313,27,5.0,gap_lower,0.6722794375799686,54.2,27,0.6635231554192641,0.0,0.7,0.0,02cb85cfa7b78b15,1.0,149,prediction_scope,0.0,24.0,20.0,0.3627944650464592,5.749839801786379,1.3085449061732568,324.03026706717617,41
40,4,"[1,2,3,4]",0.35,0.25,1.0,front_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,2,3,4]",0.0,gap_lower,12.9,0.028125,1,idm,[],60.0,0.2,front,0.0,23.4375,0.0,0.25,gap_lower,12.9,0.028125,1,5.0,gap_lower,0.9535000000000021,6.7,1,0.0,0.0,0.7,1.0,0302e92376907c45,1.0,61,layout_comparison,1.0,24.0,20.0,1.5288806931485106e-16,0.5625,0.0,0.0,41
40,4,"[1,14,27,40]",0.35,1.9,1.0,even_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",1.0,jerk_saturation,5.0,-18.999999999999996,0,idm,[],60.0,0.2,even,5.125868164168128,19.858526954864345,0.00427155680347344,1.9,jerk,6.0,0.2157434402332361,1,5.0,gap_lower,0.7185493977653218,6.7,1,0.3157433198713496,0.0,0.7,1.0,03323250131adb36,1.0,191,controller_comparison;layout_comparison;prediction_scope,1.0,24.0,20.0,0.09918171685721197,1.6780495319743522,0.3999999999998707,205.0347265667251,41
80,8,"[1,12,24,35,46,57,69,80]",0.35,2.2,0.0,even_idm_leader_N80,0.2,wave,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,8,"[1,12,24,35,46,57,69,80]",100.0,jerk_saturation,5.0,-22.0,0,idm,[],60.0,0.2,even,76.50468657979431,-31.43760203063377,0.06375390548316193,4.5,gap_lower,53.7,2.7718801015316883,24,5.000000000000004,gap_lower,-1.9341392606324839,52.400000000000006,24,6.0606060606060606,0.0,0.7,0.0,033704e30d84a9c5,0.0,149,chain_length_scope,0.0,24.0,20.0,4.5,82.11376533626367,20.0,6120.374926383544,81
