active_indices,alpha_mps2,category,controller,first_any_collision_time_s,first_prefix_collision_time_s,first_prefix_safety_before_any_collision,first_prefix_safety_before_prefix_collision,hdv_model,layout,prefix_indices,run_id,seed,success,witness_gap_m,witness_time_s,witness_vehicle
"[19, 20, 21, 22]",1.0,A,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",500b16f15cdaf9b9,97,1,,,
"[19, 20, 21, 22]",1.0,A,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",6f21e9ca29574aa2,113,1,,,
"[19, 20, 21, 22]",1.0,A,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",f81aa32eb9338959,131,1,,,
"[19, 20, 21, 22]",1.0,A,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",f47b113d23d5d268,149,1,,,
"[19, 20, 21, 22]",1.0,A,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",e5a0413d9cdba6f7,167,1,,,
"[19, 20, 21, 22]",1.0,A,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",b844725afafe606a,191,1,,,
"[19, 20, 21, 22]",1.5,C,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",23a970078a0fb636,97,0,,,
"[19, 20, 21, 22]",1.5,A,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",dfb486c2e29e963c,113,1,,,
"[19, 20, 21, 22]",1.5,C,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",6927ab54c85a6702,131,0,,,
"[19, 20, 21, 22]",1.5,A,margin,,,0,0,ovm,middle,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",7bcf5a0e148695e2,149,1,,,
